Junction ID,ATT&CK Technique ID,ATT&CK Mitigation ID,Mapping Description
982,T1505.001,M1026,Do not allow administrator accounts that have permissions to add component software on these services to be used for day-to-day operations that may expose them to potential adversaries on unprivileged systems.
983,T1505.002,M1047,Regularly check component software on critical services that adversaries may target for persistence to verify the integrity of the systems and identify if unexpected changes have been made.
984,T1505.002,M1045,Ensure all application component binaries are signed by the correct application developers.
985,T1505.002,M1026,Do not allow administrator accounts that have permissions to add component software on these services to be used for day-to-day operations that may expose them to potential adversaries on unprivileged systems.
986,T1505.003,M1042,Consider disabling functions from web technologies such as PHP’s `evaI()` that may be abused for web shells.(Citation: ITSyndicate Disabling PHP functions)
987,T1505.003,M1018,Enforce the principle of least privilege by limiting privileges of user accounts so only authorized accounts can modify the web directory.(Citation: NSA and ASD Detect and Prevent Web Shells 2020)
988,T1505.004,M1047,Regularly check installed IIS components to verify the integrity of the web server and identify if unexpected changes have been made.
989,T1505.004,M1045,Ensure IIS DLLs and binaries are signed by the correct application developers.
990,T1505.004,M1038,Restrict unallowed ISAPI extensions and filters from running by specifying a list of ISAPI extensions and filters that can run on IIS.(Citation: Microsoft ISAPICGIRestriction 2016)
991,T1505.004,M1026,Do not allow administrator accounts that have permissions to add IIS components to be used for day-to-day operations that may expose these permissions to potential adversaries and/or other unprivileged systems.
992,T1505.005,M1047,Regularly check component software on critical services that adversaries may target for persistence to verify the integrity of the systems and identify if unexpected changes have been made.
993,T1505.005,M1024,Consider using Group Policy to configure and block modifications to Terminal Services parameters in the Registry.(Citation: Microsoft System Services Fundamentals)
994,T1512,M1006,"Android 9 and above restricts access to the mic, camera, and other device sensors from applications running in the background. iOS 14 and Android 12 introduced a visual indicator on the status bar (green dot) when an application is accessing the device’s "
995,T1513,M1013,Application developers can apply the `FLAG_SECURE` property to sensitive screens within their apps to make it more difficult for the screen contents to be captured.(Citation: Nightwatch screencap April 2016)
996,T1513,M1012,"Enterprise policies should block access to the Android Debug Bridge (ADB) by preventing users from enabling USB debugging on Android devices unless specifically needed (e.g., if the device is used for application development). An EMM/MDM can use the Andro"
997,T1513,M1011,Users should be advised not to grant consent for screen captures to occur unless expected. Users should avoid enabling USB debugging (Android Debug Bridge) unless explicitly required.
998,T1516,M1012,An EMM/MDM can use the Android `DevicePolicyManager.setPermittedAccessibilityServices` method to set an explicit list of applications that are allowed to use Android's accessibility features.
999,T1516,M1011,"Users should be warned against granting access to accessibility features, and to carefully scrutinize applications that request this dangerous permission."
1000,T1517,M1013,Application developers could be encouraged to avoid placing sensitive data in notification text.
1001,T1517,M1012,"On Android devices with a work profile, the `DevicePolicyManager.setPermittedCrossProfileNotificationListeners` method can be used to manage the list of applications running within the personal profile that can access notifications generated within the wo"
1002,T1517,M1011,"Users should be wary of granting applications dangerous or privacy-intrusive permissions, such as access to notifications."
1003,T1525,M1047,Periodically check the integrity of images and containers used in cloud deployments to ensure they have not been modified to include malicious software.
1004,T1525,M1045,Several cloud service providers support content trust models that require container images be signed by trusted sources.(Citation: Content trust in Azure Container Registry)(Citation: Content trust in Docker)
1005,T1525,M1026,Limit permissions associated with creating and modifying platform images or containers based on the principle of least privilege.
1006,T1528,M1047,"Administrators should audit all cloud and container accounts to ensure that they are necessary and that the permissions granted to them are appropriate.  Additionally, administrators should perform an audit of all OAuth applications and the permissions th"
1007,T1528,M1018,Enforce role-based access control to limit accounts to the least privileges they require. A Cloud Access Security Broker (CASB) can be used to set usage policies and manage user permissions on cloud applications to prevent access to application access tok
1008,T1528,M1017,Users need to be trained to not authorize third-party applications they don’t recognize. The user should pay particular attention to the redirect URL: if the URL is a misspelled or convoluted sequence of words related to an expected service or SaaS applic
1009,T1528,M1021,"Administrators can block end-user consent to OAuth applications, disabling users from authorizing third-party apps through OAuth 2.0 and forcing administrative consent for all requests. They can also block end-user registration of applications by their us"
1010,T1530,M1047,"Frequently check permissions on cloud storage to ensure proper permissions are set to deny open or unprivileged access to resources.(Citation: Amazon S3 Security, 2019)"
1011,T1530,M1041,"Encrypt data stored at rest in cloud storage.(Citation: Amazon S3 Security, 2019)(Citation: Microsoft Azure Storage Security, 2019) Managed encryption keys can be rotated by most providers. At a minimum, ensure an incident response plan to storage breach "
1012,T1530,M1037,Cloud service providers support IP-based restrictions when accessing cloud resources. Consider using IP allowlisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mi
1013,T1530,M1032,"Consider using multi-factor authentication to restrict access to resources and cloud storage APIs.(Citation: Amazon S3 Security, 2019)"
1014,T1530,M1022,Use access control lists on storage systems and objects.
1015,T1530,M1018,"Configure user permissions groups and roles for access to cloud storage.(Citation: Microsoft Azure Storage Security, 2019) Implement strict Identity and Access Management (IAM) controls to prevent access to storage solutions except for the applications, u"
1016,T1535,M1054,Cloud service providers may allow customers to deactivate unused regions.(Citation: CloudSploit - Unused AWS Regions)
1017,T1537,M1037,Implement network-based filtering restrictions to prohibit data transfers to untrusted VPCs.
1018,T1537,M1018,Limit user account and IAM policies to the least privileges required. Consider using temporary credentials for accounts that are only valid for a certain period of time to reduce the effectiveness of compromised accounts.
1019,T1537,M1027,Consider rotating access keys within a certain number of days to reduce the effectiveness of stolen credentials.
1020,T1538,M1018,Enforce the principle of least-privilege by limiting dashboard visibility to only the resources required. This may limit the discovery value of the dashboard in the event of a compromised account.
1021,T1539,M1032,A physical second factor key that uses the target login domain as part of the negotiation protocol will prevent session cookie theft through proxy methods.(Citation: Evilginx 2 July 2018)
1022,T1539,M1017,Train users to identify aspects of phishing attempts where they're asked to enter credentials into a site that has the incorrect domain for the application they are logging into.
1023,T1539,M1054,Configure browsers or tasks to regularly delete persistent cookies.
1024,T1541,M1011,"If a user sees a persistent notification they do not recognize, they should uninstall the source application and look for other unwanted applications or anomalies."
1025,T1542,M1046,Use Trusted Platform Module technology and a secure or trusted boot process to prevent system integrity from being compromised. Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. (Citation: TCG Trusted Platfo
1026,T1542,M1026,Ensure proper permissions are in place to help prevent adversary access to privileged accounts necessary to perform these actions
1027,T1542,M1051,Patch the BIOS and EFI as necessary.
1028,T1542.001,M1046,Check the integrity of the existing BIOS or EFI to determine if it is vulnerable to modification. Use Trusted Platform Module technology. (Citation: TCG Trusted Platform Module) Move system's root of trust to hardware to prevent tampering with the SPI fla
1029,T1542.001,M1026,Prevent adversary access to privileged accounts or access necessary to perform this technique.
1030,T1542.001,M1051,Patch the BIOS and EFI as necessary.
1031,T1542.002,M1051,Perform regular firmware updates to mitigate risks of exploitation and/or abuse.
1032,T1542.003,M1046,Use Trusted Platform Module technology and a secure or trusted boot process to prevent system integrity from being compromised. (Citation: TCG Trusted Platform Module) (Citation: TechNet Secure Boot Process)
1033,T1542.003,M1026,Ensure proper permissions are in place to help prevent adversary access to privileged accounts necessary to install a bootkit.
1034,T1542.004,M1047,Periodically check the integrity of system image to ensure it has not been modified. (Citation: Cisco IOS Software Integrity Assurance - Image File Integrity) (Citation: Cisco IOS Software Integrity Assurance - Image File Verification) (Citation: Cisco IO
1035,T1542.004,M1046,"Enable secure boot features to validate the digital signature of the boot environment and system image using a special purpose hardware device. If the validation check fails, the device will fail to boot preventing loading of unauthorized software. (Citat"
1036,T1542.004,M1031,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific protocols, such as TFTP, can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and"
1037,T1542.005,M1047,Periodically check the integrity of the running configuration and system image to ensure they have not been modified. (Citation: Cisco IOS Software Integrity Assurance - Image File Verification) (Citation: Cisco IOS Software Integrity Assurance - Image Fi
1038,T1542.005,M1046,"Enable secure boot features to validate the digital signature of the boot environment and system image using a special purpose hardware device. If the validation check fails, the device will fail to boot preventing loading of unauthorized software. (Citat"
1039,T1542.005,M1035,Restrict use of protocols without encryption or authentication mechanisms. Limit access to administrative and management interfaces from untrusted network sources.
1040,T1542.005,M1031,"Network intrusion detection and prevention systems that use network signatures to identify traffic for specific protocols, such as TFTP, can be used to mitigate activity at the network level. Signatures are often for unique indicators within protocols and"
1041,T1542.005,M1028,"Follow vendor device hardening best practices to disable unnecessary and unused features and services, avoid using default configurations and passwords, and introduce logging and auditing for detection."
1042,T1542.005,M1026,"Use of Authentication, Authorization, and Accounting (AAA) systems will limit actions administrators can perform and provide a history of user actions to detect unauthorized use and abuse. TACACS+ can keep control over which commands administrators are pe"
1043,T1543,M1047,Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them.
1044,T1543,M1040,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent an application from writing a signed vulnerable driver to the system.(Citation: Malicious Driver Reporting Center) On Windows 10 and 11, enable Microsoft Vulnerable Driver Blocklist to "
1045,T1543,M1045,Enforce registration and execution of only legitimately signed service drivers where possible.
1046,T1543,M1033,Restrict software installation to trusted repositories only and be cautious of orphaned software packages.
1047,T1543,M1028,Ensure that Driver Signature Enforcement is enabled to restrict unsigned drivers from being installed.
1048,T1543,M1022,Restrict read/write access to system-level process files to only select privileged users who have a legitimate need to manage system services.
1049,T1543,M1018,Limit privileges of user accounts and groups so that only authorized administrators can interact with system-level process changes and service configurations.
1050,T1543.001,M1022,Set group policies to restrict file permissions to the~/launchagents folder.(Citation: piazza launch agent mitigation)
1051,T1543.002,M1033,Restrict software installation to trusted repositories only and be cautious of orphaned software packages.
1052,T1543.002,M1018,Limit user access to system utilities such as `systemctl` to only users who have a legitimate need.
1053,T1543.002,M1026,The creation and modification of systemd service unit files is generally reserved for administrators such as the Linux root user and other users with superuser privileges.
1054,T1543.002,M1022,Restrict read/write access to systemd unit files to only select privileged users who have a legitimate need to manage system services.
1055,T1543.003,M1047,Use auditing tools capable of detecting privilege and service abuse opportunities on systems within an enterprise and correct them.
1056,T1543.003,M1040,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent an application from writing a signed vulnerable driver to the system.(Citation: Malicious Driver Reporting Center) On Windows 10 and 11, enable Microsoft Vulnerable Driver Blocklist to "
1057,T1543.003,M1045,Enforce registration and execution of only legitimately signed service drivers where possible.
1058,T1543.003,M1018,Limit privileges of user accounts and groups so that only authorized administrators can interact with service changes and service configurations.
1059,T1543.003,M1028,Ensure that Driver Signature Enforcement is enabled to restrict unsigned drivers from being installed.
1060,T1543.004,M1047,"Use auditing tools capable of detecting folder permissions abuse opportunities on systems, especially reviewing changes made to folders by third-party software."
1061,T1543.004,M1018,Limit privileges of user accounts and remediate Privilege Escalation vectors so only authorized administrators can create new Launch Daemons.
1062,T1546.002,M1042,Use Group Policy to disable screensavers if they are unnecessary.(Citation: TechNet Screensaver GP)
1063,T1546.002,M1038,Block .scr files from being executed from non-standard locations.
1064,T1546.003,M1040,"On Windows 10, enable Attack Surface Reduction (ASR) rules to prevent malware from abusing WMI to attain persistence.(Citation: win10_asr)"
1065,T1546.003,M1018,"By default, only administrators are allowed to connect remotely using WMI; restrict other users that are allowed to connect, or disallow all users from connecting remotely to WMI."
1066,T1546.003,M1026,Prevent credential overlap across systems of administrator and privileged accounts.(Citation: FireEye WMI 2015)
1067,T1546.004,M1022,Making these files immutable and only changeable by certain administrators will limit the ability for adversaries to easily create user level persistence.
1068,T1546.006,M1047,"Binaries can also be baselined for what dynamic libraries they require, and if an app requires a new dynamic library that wasn\u2019t included as part of an update, it should be investigated."
1069,T1546.006,M1045,Enforce that all binaries be signed by the correct Apple Developer IDs.
1070,T1546.006,M1038,Allow applications via known hashes.
1071,T1546.008,M1038,Adversaries can replace accessibility features binaries with alternate binaries to execute this technique. Identify and block potentially malicious software executed through accessibility features functionality by using application control (Citation: Beec
1072,T1546.008,M1035,"If possible, use a Remote Desktop Gateway to manage connections and security configuration of RDP within a network.(Citation: TechNet RDP Gateway)"
1073,T1546.008,M1028,"To use this technique remotely, an adversary must use it in conjunction with RDP. Ensure that Network Level Authentication is enabled to force the remote desktop session to authenticate before the session is created and the login screen displayed. It is e"
1074,T1546.009,M1038,"Adversaries install new AppCertDLL binaries to execute this technique. Identify and block potentially malicious software executed through AppCertDLLs functionality by using application control (Citation: Beechey 2010) tools, like Windows Defender Applicat"
1075,T1546.010,M1038,"Adversaries can install new AppInit DLLs binaries to execute this technique. Identify and block potentially malicious software executed through AppInit DLLs functionality by using application control (Citation: Beechey 2010) tools, like Windows Defender A"
1076,T1546.010,M1051,Upgrade to Windows 8 or later and enable secure boot.
1077,T1546.011,M1051,"Microsoft released an optional patch update - KB3045645 - that will remove the ""auto-elevate"" flag within the sdbinst.exe. This will prevent use of application shimming to bypass UAC."
1078,T1546.011,M1052,"Changing UAC settings to ""Always Notify"" will give the user more visibility when UAC elevation is requested, however, this option will not be popular among users due to the constant UAC interruptions."
1079,T1546.013,M1045,Enforce execution of only signed PowerShell scripts. Sign profiles to avoid them from being modified.
1080,T1546.013,M1022,Making PowerShell profiles immutable and only changeable by certain administrators will limit the ability for adversaries to easily create user level persistence.
1081,T1546.013,M1054,Avoid PowerShell profiles if not needed. Use the -No Profile flag with when executing PowerShell scripts remotely to prevent local profiles and scripts from being executed.
1082,T1546.014,M1042,Consider disabling emond by removing the [Launch Daemon](https://attack.mitre.org/techniques/T1543/004) plist file.
1083,T1547.002,M1025,"Windows 8.1, Windows Server 2012 R2, and later versions, may make LSA run as a Protected Process Light (PPL) by setting the Registry keyHKLM\SYSTEM\CurrentControlSet\Control\Lsa\RunAsPPL, which requires all DLLs loaded by LSA to be signed by Microsoft. (C"
1084,T1547.003,M1022,Consider using Group Policy to configure and block additions/modifications to W32Time DLLs. (Citation: Microsoft W32Time May 2017)
1085,T1547.003,M1024,Consider using Group Policy to configure and block modifications to W32Time parameters in the Registry. (Citation: Microsoft W32Time May 2017)
1086,T1547.004,M1038,Identify and block potentially malicious software that may be executed through the Winlogon helper process by using application control (Citation: Beechey 2010) tools like AppLocker (Citation: Windows Commands JPCERT) (Citation: NSA MS AppLocker) that are
1087,T1547.004,M1018,Limit the privileges of user accounts so that only authorized administrators can perform Winlogon helper changes.
1088,T1547.005,M1025,"Windows 8.1, Windows Server 2012 R2, and later versions may make LSA run as a Protected Process Light (PPL) by setting the Registry keyHKLM\\SYSTEM\\CurrentControlSet\\Control\\Lsa\\RunAsPPL, which requires all SSP DLLs to be signed by Microsoft. (Citatio"
1089,T1547.006,M1049,"Common tools for detecting Linux rootkits include: rkhunter (Citation: SourceForge rkhunter), chrootkit (Citation: Chkrootkit Main), although rootkits may be designed to evade certain detection tools."
1090,T1547.006,M1038,"Application control and software restriction tools, such as SELinux, KSPP, grsecurity MODHARDEN, and Linux kernel tuning can aid in restricting kernel module loading.(Citation: Kernel.org Restrict Kernel Module)(Citation: Wikibooks Grsecurity)(Citation: K"
1091,T1547.006,M1026,Limit access to the root account and prevent users from loading kernel modules and extensions through proper privilege separation and limiting Privilege Escalation opportunities.
1092,T1547.006,M1018,"Use MDM to disable user's ability to install or approve kernel extensions, and ensure all approved kernel extensions are in alignment with policies specified incom.apple.syspolicy.kernel-extension-policy.(Citation: Apple TN2459 Kernel Extensions)(Citation"
1093,T1547.007,M1042,This feature can be disabled entirely with the following terminal command:defaults write -g ApplePersistence -bool no.
1094,T1547.007,M1017,Holding the Shift key while logging in prevents apps from opening automatically.(Citation: Re-Open windows on Mac)
1095,T1547.008,M1043,"On Windows 10 and Server 2016, enable Windows Defender Credential Guard (Citation: Microsoft Enable Cred Guard April 2017) to run lsass.exe in an isolated virtualized environment without any device drivers. (Citation: Microsoft Credential Guard April 2017"
1096,T1547.008,M1025,"On Windows 8.1 and Server 2012 R2, enable LSA Protection by setting the Registry keyHKEY_LOCAL_MACHINE\\SYSTEM\\CurrentControlSet\\Control\\Lsa\\RunAsPPL todword:00000001. (Citation: Microsoft LSA Protection Mar 2014) LSA Protection ensures that LSA plug-"
1097,T1547.008,M1044,Ensure safe DLL search mode is enabledHKEY_LOCAL_MACHINE\\System\\CurrentControlSet\\Control\\Session Manager\\SafeDllSearchMode to mitigate risk that lsass.exe loads a malicious code library. (Citation: Microsoft DLL Security)
1098,T1547.009,M1018,Limit permissions for who can create symbolic links in Windows to appropriate groups such as Administrators and necessary groups for virtualization. This can be done through GPO: Computer Configuration > [Policies] > Windows Settings > Security Settings >
1099,T1547.012,M1018,Limit user accounts that can load or unload device drivers by disablingSeLoadDriverPrivilege.
1100,T1547.013,M1033,Restrict software installation to trusted repositories only and be cautious of orphaned software packages.
1101,T1547.013,M1018,Limit privileges of user accounts so only authorized privileged users can create and modify XDG autostart entries.
1102,T1547.013,M1022,Restrict write access to XDG autostart entries to only select privileged users.
1103,T1548,M1047,Check for common UAC bypass weaknesses on Windows systems to be aware of the risk posture and address issues where appropriate.(Citation: Github UACMe)
1104,T1548,M1038,System settings can prevent applications from running that haven't been downloaded from legitimate repositories which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk.
1105,T1548,M1028,"Applications with known vulnerabilities or known shell escapes should not have the setuid or setgid bits set to reduce potential damage if an application is compromised. Additionally, the number of programs with setuid or setgid bits set should be minimiz"
1106,T1548,M1026,"Remove users from the local administrator group on systems.  By requiring a password, even if an adversary can get terminal access, they must know the password to run anything in the sudoers file. Setting the timestamp_timeout to 0 will require the user t"
1107,T1548,M1022,The sudoers file should be strictly edited such that passwords are always required and that users can't spawn risky processes as users with higher privilege.
1108,T1548,M1052,"Although UAC bypass techniques exist, it is still prudent to use the highest enforcement level for UAC when possible and mitigate bypass opportunities that exist with techniques such as [DLL Search Order Hijacking](https://attack.mitre.org/techniques/T157"
1109,T1548,M1018,"Limit the privileges of cloud accounts to assume, create, or impersonate additional roles, policies, and permissions to only those required. Where just-in-time access is enabled, consider requiring manual approval for temporary elevation of privileges."
1110,T1548.001,M1028,"Applications with known vulnerabilities or known shell escapes should not have the setuid or setgid bits set to reduce potential damage if an application is compromised. Additionally, the number of programs with setuid or setgid bits set should be minimiz"
1111,T1548.002,M1047,Check for common UAC bypass weaknesses on Windows systems to be aware of the risk posture and address issues where appropriate.(Citation: Github UACMe)
1112,T1548.002,M1026,Remove users from the local administrator group on systems.
1113,T1548.002,M1051,Consider updating Windows to the latest version and patch level to utilize the latest protective measures against UAC bypass.(Citation: Github UACMe)
1114,T1548.002,M1052,"Although UAC bypass techniques exist, it is still prudent to use the highest enforcement level for UAC when possible and mitigate bypass opportunities that exist with techniques such as [DLL Search Order Hijacking](https://attack.mitre.org/techniques/T157"
1115,T1548.003,M1028,Ensuring that thetty_tickets setting is enabled will prevent this leakage across tty sessions.
1116,T1548.003,M1026,"By requiring a password, even if an adversary can get terminal access, they must know the password to run anything in the sudoers file. Setting thetimestamp_timeout to 0 will require the user to input their password every timesudo is executed."
1117,T1548.003,M1022,The sudoers file should be strictly edited such that passwords are always required and that users can't spawn risky processes as users with higher privilege.
1118,T1548.004,M1038,System settings can prevent applications from running that haven't been downloaded through the Apple Store which may help mitigate some of these issues. Not allowing unsigned applications from being run may also mitigate some risk.
1119,T1548.005,M1018,"Limit the privileges of cloud accounts to assume, create, or impersonate additional roles, policies, and permissions to only those required. Where just-in-time access is enabled, consider requiring manual approval for temporary elevation of privileges."
1120,T1550,M1018,Enforce the principle of least-privilege. Do not allow a domain user to be in the local administrator group on multiple systems.
1121,T1550,M1026,Limit credential overlap across systems to prevent the damage of credential compromise and reduce the adversary's ability to perform Lateral Movement between systems.
1122,T1550.001,M1047,"Administrators should audit all cloud and container accounts to ensure that they are necessary and that the permissions granted to them are appropriate. Where possible, the ability to request temporary account tokens on behalf of another accounts should b"
1123,T1550.001,M1041,File encryption should be enforced across email communications containing sensitive information that may be obtained through access to email services.
1124,T1550.001,M1021,"Update corporate policies to restrict what types of third-party applications may be added to any online service or tool that is linked to the company's information, accounts or network (e.g., Google, Microsoft, Dropbox, Basecamp, GitHub). However, rather "
1125,T1550.002,M1018,Do not allow a domain user to be in the local administrator group on multiple systems.
1126,T1550.002,M1026,Limit credential overlap across systems to prevent the damage of credential compromise and reduce the adversary's ability to perform Lateral Movement between systems.
1127,T1550.002,M1051,Apply patch KB2871997 to Windows 7 and higher systems to limit the default access of accounts in the local administrator group.(Citation: NSA Spotting)
1128,T1550.002,M1052,Enable pass the hash mitigations to apply UAC restrictions to local accounts on network logon. The associated Registry key is locatedHKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\LocalAccountTokenFilterPolicy.  Through GPO: Computer Confi
1129,T1550.003,M1015,"To contain the impact of a previously generated golden ticket, reset the built-in KRBTGT account password twice, which will invalidate any existing golden tickets that have been created with the KRBTGT hash and other Kerberos tickets derived from it.(Cita"
1130,T1550.003,M1018,Do not allow a user to be a local administrator for multiple systems.
1131,T1550.003,M1027,"Ensure that local administrator accounts have complex, unique passwords."
1132,T1550.003,M1026,Limit domain admin account permissions to domain controllers and limited servers. Delegate other admin functions to separate accounts.(Citation: ADSecurity AD Kerberos Attacks)
1133,T1550.004,M1054,Configure browsers or tasks to regularly delete persistent cookies.
1134,T1552,M1015,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025)
1135,T1552,M1047,Preemptively search for files containing passwords or other credentials and take actions to reduce the exposure risk when found.
1136,T1552,M1041,"When possible, store keys on separate cryptographic hardware instead of on the local system."
1137,T1552,M1037,Limit access to the Instance Metadata API. A properly configured Web Application Firewall (WAF) may help prevent external adversaries from exploiting Server-side Request Forgery (SSRF) attacks that allow access to the Cloud Instance Metadata API.(Citation
1138,T1552,M1035,"Limit network access to sensitive services, such as the Instance Metadata API."
1139,T1552,M1017,Ensure that developers and system administrators are aware of the risk associated with having plaintext passwords in software configuration files that may be left on endpoint systems or servers.
1140,T1552,M1028,"There are multiple methods of preventing a user's command history from being flushed to their .bash_history file, including use of the following commands:set +o history andset -o history to start logging again;unset HISTFILE being added to a user's .bash_"
1141,T1552,M1027,Use strong passphrases for private keys to make cracking difficult. Do not store credentials within the Registry. Establish an organizational policy that prohibits password storage in files.
1142,T1552,M1026,"If it is necessary that software must store credentials in the Registry, then ensure the associated accounts have limited permissions so they cannot be abused if obtained by an adversary."
1143,T1552,M1022,Restrict file shares to specific directories with access only to necessary users.
1144,T1552,M1051,Apply patch KB2962486 which prevents credentials from being stored in GPPs.(Citation: ADSecurity Finding Passwords in SYSVOL)(Citation: MS14-025)
1145,T1552.001,M1047,Preemptively search for files containing passwords and take actions to reduce the exposure risk when found.
1146,T1552.001,M1017,Ensure that developers and system administrators are aware of the risk associated with having plaintext passwords in software configuration files that may be left on endpoint systems or servers.
1147,T1552.001,M1027,Establish an organizational policy that prohibits password storage in files.
1148,T1552.001,M1022,Restrict file shares to specific directories with access only to necessary users.
1149,T1552.002,M1047,Proactively search for credentials within the Registry and attempt to remediate the risk.
1150,T1552.002,M1027,Do not store credentials within the Registry.
1151,T1552.002,M1026,"If it is necessary that software must store credentials in the Registry, then ensure the associated accounts have limited permissions so they cannot be abused if obtained by an adversary."
1152,T1552.003,M1028,"There are multiple methods of preventing a user's command history from being flushed to their .bash_history file, including use of the following commands:set +o history andset -o history to start logging again;unset HISTFILE being added to a user's .bash_"
1153,T1552.004,M1047,Ensure only authorized keys are allowed access to critical resources and audit access lists regularly.
1154,T1552.004,M1041,"When possible, store keys on separate cryptographic hardware instead of on the local system. For example, on Windows systems use a TPM to secure keys and other sensitive credential material.(Citation: Microsoft Primary Refresh Token)"
1155,T1552.004,M1027,Use strong passphrases for private keys to make cracking difficult.
1156,T1552.004,M1022,"Ensure permissions are properly set on folders containing sensitive private keys to prevent unintended access. Additionally, on Cisco devices, set the `nonexportable` flag during RSA key pair generation.(Citation: cisco_deploy_rsa_keys)"
1157,T1552.005,M1042,Disable unnecessary metadata services and restrict or disable insecure versions of metadata services that are in use to prevent adversary access.(Citation: Amazon AWS IMDS V2)
1158,T1552.005,M1037,Limit access to the Instance Metadata API. A properly configured Web Application Firewall (WAF) may help prevent external adversaries from exploiting Server-side Request Forgery (SSRF) attacks that allow access to the Cloud Instance Metadata API.(Citation
1159,T1552.005,M1035,Limit access to the Instance Metadata API using a host-based firewall such as iptables.
1160,T1552.006,M1015,Remove vulnerable Group Policy Preferences.(Citation: Microsoft MS14-025)
1161,T1552.006,M1047,Search SYSVOL for any existing GGPs that may contain credentials and remove them.(Citation: ADSecurity Finding Passwords in SYSVOL)
1162,T1552.006,M1051,Apply patch KB2962486 which prevents credentials from being stored in GPPs.(Citation: ADSecurity Finding Passwords in SYSVOL)(Citation: MS14-025)
1163,T1552.007,M1035,"Limit communications with the container service to managed and secured channels, such as local Unix sockets or remote access via SSH. Require secure port access to communicate with the APIs over TLS by disabling unauthenticated access to the Docker API an"
1164,T1552.007,M1030,"Deny direct remote access to internal systems through the use of network proxies, gateways, and firewalls."
1165,T1552.007,M1026,"Use the principle of least privilege for privileged accounts such as the service account in Kubernetes. For example, if a pod is not required to access the Kubernetes API, consider disabling the service account altogether.(Citation: Kubernetes Service Acc"
1166,T1552.007,M1018,"Enforce authentication and role-based access control on the container API to restrict users to the least privileges required.(Citation: Kubernetes Hardening Guide) When using Kubernetes, avoid giving users wildcard permissions or adding users to the `syst"
1167,T1552.008,M1047,"Preemptively search through communication services to find shared unsecured credentials. Searching for common patterns like ""password is"", “password=” and take actions to reduce exposure when found."
1168,T1552.008,M1017,Ensure that developers and system administrators are aware of the risk associated with sharing unsecured passwords across communication services.
1169,T1553,M1038,System settings can prevent applications from running that haven't been downloaded through the Apple Store (or other legitimate repositories) which can help mitigate some of these issues. Also enable application control solutions such as AppLocker and/or 
1170,T1553,M1028,Windows Group Policy can be used to manage root certificates and theFlags value ofHKLM\\SOFTWARE\\Policies\\Microsoft\\SystemCertificates\\Root\\ProtectedRoots can be set to 1 to prevent non-administrator users from making further root installations into 
1171,T1553,M1024,Ensure proper permissions are set for Registry hives to prevent users from modifying keys related to SIP and trust provider components. Components may still be able to be hijacked to suitable functions already present on disk if malicious modifications to
1172,T1553,M1054,HTTP Public Key Pinning (HPKP) is one method to mitigate potential [Adversary-in-the-Middle](https://attack.mitre.org/techniques/T1557) situations where and adversary uses a mis-issued or fraudulent certificate to intercept encrypted communications by enf
1173,T1553.001,M1038,System settings can prevent applications from running that haven't been downloaded through the Apple Store which can help mitigate some of these issues.
1174,T1553.003,M1038,Enable application control solutions such as AppLocker and/or Device Guard to block the loading of malicious SIP DLLs.
1175,T1553.003,M1022,"Restrict storage and execution of SIP DLLs to protected directories, such as C:\\Windows, rather than user directories."
1176,T1553.003,M1024,Ensure proper permissions are set for Registry hives to prevent users from modifying keys related to SIP and trust provider components. Components may still be able to be hijacked to suitable functions already present on disk if malicious modifications to
1177,T1553.004,M1028,Windows Group Policy can be used to manage root certificates and theFlags value ofHKLM\\SOFTWARE\\Policies\\Microsoft\\SystemCertificates\\Root\\ProtectedRoots can be set to 1 to prevent non-administrator users from making further root installations into 
1178,T1553.004,M1054,HTTP Public Key Pinning (HPKP) is one method to mitigate potential [Adversary-in-the-Middle](https://attack.mitre.org/techniques/T1557) situations where and adversary uses a mis-issued or fraudulent certificate to intercept encrypted communications by enf
1179,T1553.005,M1042,"Consider disabling auto-mounting of disk image files (i.e., .iso, .img, .vhd, and .vhdx). This can be achieved by modifying the Registry values related to the Windows Explorer file associations in order to disable the automatic Explorer ""Mount and Burn"" d"
1180,T1553.005,M1038,Consider blocking container file types at web and/or email gateways. Consider unregistering container file extensions in Windows File Explorer.(Citation: Dormann Dangers of VHD 2019)
1181,T1553.006,M1046,Use of Secure Boot may prevent some implementations of modification to code signing policies.(Citation: Microsoft TESTSIGNING Feb 2021)
1182,T1553.006,M1026,Limit the usage of local administrator and domain administrator accounts to be used for day-to-day operations that may expose them to potential adversaries.
1183,T1553.006,M1024,Ensure proper permissions are set for the Registry to prevent users from modifying keys related to code signing policies.
1184,T1554,M1045,Ensure all application component binaries are signed by the correct application developers.
