CAPEC ID,CAPEC Name,Abstraction,Status,Description,Likelihood of Attack,Typical Severity,Execution Flow,Prerequisites,Skills Required,Resources Required,Indicators,Consequences,Mitigations,Example Instances
296,ICMP Information Request,Detailed,Stable,An adversary sends an ICMP Information Request to a host to determine if it will respond to this deprecated mechanism. ICMP Information Requests are a deprecated message type. Information Requests were originally used for diskless machines to automaticall,,Low,,The ability to send an ICMP Type 15 Information Request and receive an ICMP Type 16 Information Reply in response.,SKILL:The adversary needs to know certain linux commands for this type of attack.:LEVEL:Low,Scanners or utilities that provide the ability to send custom ICMP queries.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Other,,
297,TCP ACK Ping,Detailed,Stable,An adversary sends a TCP segment with the ACK flag set to a remote host for the purpose of determining if the host is alive. This is one of several TCP 'ping' types. The RFC 793 expected behavior for a service is to respond with a RST 'reset' packet to an,,Low,,"The ability to send an ACK packet to a remote host and identify the response. Creating the ACK packet without building a full connection requires the use of raw sockets. As a result, it is not possible to send a TCP ACK ping from some systems (Windows XP ",,ACK scanning can be performed via the use of a port scanner or by raw socket manipulation using a scripting or programming language. Packet injection tools are also useful for this purpose. Depending upon the technique used it may also be necessary to sni,,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,Leverage stateful firewalls that allow for the rejection of a packet that is not part of an existing connection.,
298,UDP Ping,Detailed,Stable,"An adversary sends a UDP datagram to the remote host to determine if the host is alive. If a UDP datagram is sent to an open UDP port there is very often no response, so a typical strategy for using a UDP ping is to send the datagram to a random high port",,Low,,The adversary requires the ability to send a UDP datagram to a remote host and receive a response. The adversary requires the ability to craft custom UDP Packets for use during network reconnaissance. The target's firewall must not be configured to block ,,UDP pings can be performed via the use of a port scanner or by raw socket manipulation using a scripting or programming language. Packet injection tools are also useful for this purpose. Depending upon the technique used it may also be necessary to sniff,,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,Configure your firewall to block egress ICMP messages.,
299,TCP SYN Ping,Detailed,Stable,"An adversary uses TCP SYN packets as a means towards host discovery. Typical RFC 793 behavior specifies that when a TCP port is open, a host must respond to an incoming SYN synchronize packet by completing stage two of the 'three-way handshake' - by sendi",,Low,,"The ability to send a TCP SYN packet to a remote target. Depending upon the operating system, the ability to craft SYN packets may require elevated privileges.",SKILL:The adversary needs to know how to craft and send protocol commands from the command line or within a tool.:LEVEL:Low,SYN pings can be performed via the use of a port scanner or by raw socket manipulation using a scripting or programming language. Packet injection tools are also useful for this purpose. Depending upon the technique used it may also be necessary to sniff,,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
300,Port Scanning,Standard,Stable,An adversary uses a combination of techniques to determine the state of the ports on a remote target. Any service or application available for TCP or UDP networking will have a port open for communications over the network.,,Low,,The adversary requires logical access to the target's network in order to carry out this type of attack.,,"The adversary requires a network mapping/scanning tool, or must conduct socket programming on the command line. Packet injection tools are also useful for this purpose. Depending upon the method used it may be necessary to sniff the network in order to se",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
301,TCP Connect Scan,Detailed,Stable,"An adversary uses full TCP connection attempts to determine if a port is open on the target system. The scanning process involves completing a 'three-way handshake' with a remote port, and reports the port as closed if the full handshake cannot be establi",,Low,STEP:1:PHASE:Experiment:DESCRIPTION:An adversary attempts to initialize a TCP connection with with the target port.  STEP:2:PHASE:Experiment:DESCRIPTION:An adversary uses the result of their TCP connection to determine the state of the target port. A succ,The adversary requires logical access to the target network. The TCP connect Scan requires the ability to connect to an available port and complete a 'three-way-handshake' This scanning technique does not require any special privileges in order to perform,,"The adversary can leverage a network mapper or scanner, or perform this attack via routine socket programming in a scripting language. Packet injection tools are also useful for this purpose. Depending upon the method used it may be necessary to sniff the",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data,Employ a robust network defense posture that includes an IDS/IPS system.,
302,TCP FIN Scan,Detailed,Stable,An adversary uses a TCP FIN scan to determine if ports are closed on the target machine. This scan type is accomplished by sending TCP segments with the FIN bit set in the packet header. The RFC 793 expected behavior is that any TCP segment with an out-of,,Low,STEP:1:PHASE:Experiment:DESCRIPTION:An adversary sends TCP packets with the FIN flag but not associated with an existing connection to target ports.  STEP:2:PHASE:Experiment:DESCRIPTION:An adversary uses the response from the target to determine the port',"FIN scanning requires the use of raw sockets, and thus cannot be performed from some Windows systems (Windows XP SP 2, for example). On Unix and Linux, raw socket manipulations require root privileges.",,"This attack pattern requires the ability to send TCP FIN segments to a host during network reconnaissance. This can be achieved via the use of a network mapper or scanner, or via raw socket programming in a scripting language. Packet injection tools are a",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,"FIN scans are detected via heuristic (non-signature) based algorithms, much in the same way as other scan types are detected. An IDS/IPS system with heuristic algorithms is required to detect them.",
303,TCP Xmas Scan,Detailed,Stable,"An adversary uses a TCP XMAS scan to determine if ports are closed on the target machine. This scan type is accomplished by sending TCP segments with all possible flags set in the packet header, generating packets that are illegal based on RFC 793. The RF",,Low,STEP:1:PHASE:Experiment:DESCRIPTION:An adversary sends TCP packets with all flags set but not associated with an existing connection to target ports.  STEP:2:PHASE:Experiment:DESCRIPTION:An adversary uses the response from the target to determine the port,"The adversary needs logical access to the target network. XMAS scanning requires the use of raw sockets, and thus cannot be performed from some Windows systems (Windows XP SP 2, for example). On Unix and Linux, raw socket manipulations require root privil",,"This attack can be carried out with a network mapper or scanner, or via raw socket programming in a scripting language. Packet injection tools are also useful for this purpose. Depending upon the method used it may be necessary to sniff the network in ord",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities SCOPE:Availability:TECHNICAL IMPACT:Unreliable Execution,Employ a robust network defensive posture that includes a managed IDS/IPS.,
304,TCP Null Scan,Detailed,Stable,"An adversary uses a TCP NULL scan to determine if ports are closed on the target machine. This scan type is accomplished by sending TCP segments with no flags in the packet header, generating packets that are illegal based on RFC 793. The RFC 793 expected",,Low,STEP:1:PHASE:Experiment:DESCRIPTION:An adversary sends TCP packets with no flags set and that are not associated with an existing connection to target ports.  STEP:2:PHASE:Experiment:DESCRIPTION:An adversary uses the response from the target to determine ,"The adversary requires logical access to the target network. NULL scanning requires the use of raw sockets, and thus cannot be performed from some Windows systems (Windows XP SP 2, for example). On Unix and Linux, raw socket manipulations require root pri",,"This attack can be carried out via a network mapper/scanner, or via raw socket programming in a scripting language. Packet injection tools are also useful for this purpose. Depending upon the method used it may be necessary to sniff the network in order t",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,Employ a robust network defensive posture that includes a managed IDS/IPS.,
305,TCP ACK Scan,Detailed,Stable,"An adversary uses TCP ACK segments to gather information about firewall or ACL configuration. The purpose of this type of scan is to discover information about filter configurations rather than port state. This type of scanning is rarely useful alone, but",,Low,STEP:1:PHASE:Experiment:DESCRIPTION:An adversary sends TCP packets with the ACK flag set and that are not associated with an existing connection to target ports.  STEP:2:PHASE:Experiment:DESCRIPTION:An adversary uses the response from the target to determ,"The adversary requires logical access to the target network. ACK scanning requires the use of raw sockets, and thus cannot be performed from some Windows systems (Windows XP SP 2, for example). On Unix and Linux, raw socket manipulations require root priv",,"This attack can be achieved via the use of a network mapper or scanner, or via raw socket programming in a scripting language. Packet injection tools are also useful for this purpose. Depending upon the method used it may be necessary to sniff the network",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
306,TCP Window Scan,Detailed,Stable,An adversary engages in TCP Window scanning to analyze port status and operating system type. TCP Window scanning uses the ACK scanning method but examine the TCP Window Size field of response RST packets to make certain inferences. While TCP Window Scans,,Low,STEP:1:PHASE:Experiment:DESCRIPTION:An adversary sends TCP packets with the ACK flag set and that are not associated with an existing connection to target ports.  STEP:2:PHASE:Experiment:DESCRIPTION:An adversary uses the response from the target to determ,"TCP Window scanning requires the use of raw sockets, and thus cannot be performed from some Windows systems (Windows XP SP 2, for example). On Unix and Linux, raw socket manipulations require root privileges.",,"The ability to send TCP segments with a custom window size to a host during network reconnaissance. This can be achieved via the use of a network mapper or scanner, or via raw socket programming in a scripting language. Packet injection tools are also use",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
307,TCP RPC Scan,Detailed,Stable,An adversary scans for RPC services listing on a Unix/Linux host.,,Low,"STEP:1:PHASE:Experiment:DESCRIPTION:An adversary sends RCP packets to target ports.  STEP:2:PHASE:Experiment:DESCRIPTION:An adversary uses the response from the target to determine which, if any, RPC service is running on that port. Responses will vary ba",RPC scanning requires no special privileges when it is performed via a native system utility.,,The ability to craft custom RPC datagrams for use during network reconnaissance via native OS utilities or a port scanning tool. By tailoring the bytes injected one can scan for specific RPC-registered services. Depending upon the method used it may be ne,,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,"Typically, an IDS/IPS system is very effective against this type of attack.",
308,UDP Scan,Detailed,Stable,An adversary engages in UDP scanning to gather information about UDP port status on the target system. UDP scanning methods involve sending a UDP datagram to the target port and looking for evidence that the port is closed. Open UDP ports usually do not r,,Low,STEP:1:PHASE:Experiment:DESCRIPTION:An adversary sends UDP packets to target ports.  STEP:2:PHASE:Experiment:DESCRIPTION:An adversary uses the response from the target to determine the port's state. Whether a port responds to a UDP packet is dependant on ,"The ability to send UDP datagrams to a host and receive ICMP error messages from that host. In cases where particular types of ICMP messaging is disallowed, the reliability of UDP scanning drops off sharply.",,"The ability to craft custom UDP Packets for use during network reconnaissance. This can be accomplished via the use of a port scanner, or via socket manipulation in a programming or scripting language. Packet injection tools are also useful. It is also ne",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,Firewalls or ACLs which block egress ICMP error types effectively prevent UDP scans from returning any useful information. UDP scanning is complicated by rate limiting mechanisms governing ICMP error messages.,
309,Network Topology Mapping,Standard,Draft,"An adversary engages in scanning activities to map network nodes, hosts, devices, and routes. Adversaries usually perform this type of network reconnaissance during the early stages of attack against an external network. Many types of scanning utilities a",,Low,,None,,"Probing requires the ability to interactively send and receive data from a target, whereas passive listening requires a sufficient understanding of the protocol to analyze a preexisting channel of communication.",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other,,
310,Scanning for Vulnerable Software,Detailed,Draft,"An attacker engages in scanning activity to find vulnerable software versions or types, such as operating system versions or network services. Vulnerable or exploitable network configurations, such as improperly firewalled systems, or misconfigured system",,Low,,Access to the network on which the targeted system resides. Software tools used to probe systems over a range of ports and protocols.,SKILL:To probe a system remotely without detection requires careful planning and patience.:LEVEL:Medium,"Probing requires the ability to interactively send and receive data from a target, whereas passive listening requires a sufficient understanding of the protocol to analyze a preexisting channel of communication.",,SCOPE:Confidentiality:TECHNICAL IMPACT:Other SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
312,Active OS Fingerprinting,Standard,Stable,"An adversary engages in activity to detect the operating system or firmware version of a remote target by interrogating a device, server, or platform with a probe designed to solicit behavior that will reveal information about the operating systems or fir",Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,"Any type of active probing that involves non-standard packet headers requires the use of raw sockets, which is not available on particular operating systems (Microsoft Windows XP SP 2, for example). Raw socket manipulation on Unix/Linux requires root priv",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Hide Activities,,
313,Passive OS Fingerprinting,Standard,Stable,"An adversary engages in activity to detect the version or type of OS software in a an environment by passively monitoring communication between devices, nodes, or applications. Passive techniques for operating system detection send no actual probes to a t",High,Low,,"The ability to monitor network communications.Access to at least one host, and the privileges to interface with the network interface card.",,"Any tool capable of monitoring network communications, like a packet sniffer (e.g., Wireshark)",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Hide Activities,,
317,IP ID Sequencing Probe,Detailed,Stable,"This OS fingerprinting probe analyzes the IP 'ID' field sequence number generation algorithm of a remote host. Operating systems generate IP 'ID' numbers differently, allowing an attacker to identify the operating system of the host by examining how is as",Medium,Low,,,,,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
318,IP 'ID' Echoed Byte-Order Probe,Detailed,Stable,This OS fingerprinting probe tests to determine if the remote host echoes back the IP 'ID' value from the probe packet. An attacker sends a UDP datagram with an arbitrary IP 'ID' value to a closed port on the remote host to observe the manner in which thi,Medium,Low,,,,,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
319,IP (DF) 'Don't Fragment Bit' Echoing Probe,Detailed,Stable,This OS fingerprinting probe tests to determine if the remote host echoes back the IP 'DF' (Don't Fragment) bit in a response packet. An attacker sends a UDP datagram with the DF bit set to a closed port on the remote host to observe whether the 'DF' bit ,Medium,Low,,,,,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
320,TCP Timestamp Probe,Detailed,Stable,"This OS fingerprinting probe examines the remote server's implementation of TCP timestamps. Not all operating systems implement timestamps within the TCP header, but when timestamps are used then this provides the attacker with a means to guess the operat",Medium,Low,STEP:1:PHASE:Explore:DESCRIPTION:[Determine if timestamps are present.] The adversary sends a probe packet to the remote host to identify if timestamps are present.  STEP:2:PHASE:Experiment:DESCRIPTION:[Record and analyze timestamp values.] If the remote ,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.The target OS must support the TCP timestamp option in order to obtain a fingerprint.",,"Any type of active probing that involves non-standard packet headers requires the use of raw sockets, which is not available on particular operating systems (Microsoft Windows XP SP 2, for example). Raw socket manipulation on Unix/Linux requires root priv",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism,,
321,TCP Sequence Number Probe,Detailed,Stable,This OS fingerprinting probe tests the target system's assignment of TCP sequence numbers. One common way to test TCP Sequence Number generation is to send a probe packet to an open port on the target and then compare the how the Sequence Number generated,Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,A tool capable of sending and receiving packets from a remote system.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
322,TCP (ISN) Greatest Common Divisor Probe,Detailed,Stable,This OS fingerprinting probe sends a number of TCP SYN packets to an open port of a remote machine. The Initial Sequence Number (ISN) in each of the SYN/ACK response packets is analyzed to determine the smallest number that the target host uses when incre,Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,A tool capable of sending and receiving packets from a remote system.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
323,TCP (ISN) Counter Rate Probe,Detailed,Stable,This OS detection probe measures the average rate of initial sequence number increments during a period of time. Sequence numbers are incremented using a time-based algorithm and are susceptible to a timing analysis that can determine the number of increm,Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,"Any type of active probing that involves non-standard packet headers requires the use of raw sockets, which is not available on particular operating systems (Microsoft Windows XP SP 2, for example). Raw socket manipulation on Unix/Linux requires root priv",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
324,TCP (ISN) Sequence Predictability Probe,Detailed,Stable,"This type of operating system probe attempts to determine an estimate for how predictable the sequence number generation algorithm is for a remote host. Statistical techniques, such as standard deviation, can be used to determine how predictable the seque",Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,A tool capable of sending and receiving packets from a remote system.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
325,TCP Congestion Control Flag (ECN) Probe,Detailed,Stable,This OS fingerprinting probe checks to see if the remote host supports explicit congestion notification (ECN) messaging. ECN messaging was designed to allow routers to notify a remote host when signal congestion problems are occurring. Explicit Congestion,Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,A tool capable of sending and receiving packets from a remote system.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
326,TCP Initial Window Size Probe,Detailed,Stable,This OS fingerprinting probe checks the initial TCP Window size. TCP stacks limit the range of sequence numbers allowable within a session to maintain the connected state within TCP protocol logic. The initial window size specifies a range of acceptable s,Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,A tool capable of sending and receiving packets from a remote system.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
327,TCP Options Probe,Detailed,Stable,This OS fingerprinting probe analyzes the type and order of any TCP header options present within a response segment. Most operating systems use unique ordering and different option sets when options are present. RFC 793 does not specify a required order ,Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,A tool capable of sending and receiving packets from a remote system.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
328,TCP 'RST' Flag Checksum Probe,Detailed,Stable,This OS fingerprinting probe performs a checksum on any ASCII data contained within the data portion or a RST packet. Some operating systems will report a human-readable text message in the payload of a 'RST' (reset) packet when specific types of connecti,Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,A tool capable of sending and receiving packets from a remote system.,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
329,ICMP Error Message Quoting Probe,Detailed,Stable,"An adversary uses a technique to generate an ICMP Error message (Port Unreachable, Destination Unreachable, Redirect, Source Quench, Time Exceeded, Parameter Problem) from a target and then analyze the amount of data returned or Quoted from the originatin",Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,"A tool capable of sending/receiving UDP datagram packets from a remote system to a closed port and receive an ICMP Error Message Type 3, Port Unreachable..",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
330,ICMP Error Message Echoing Integrity Probe,Detailed,Stable,"An adversary uses a technique to generate an ICMP Error message (Port Unreachable, Destination Unreachable, Redirect, Source Quench, Time Exceeded, Parameter Problem) from a target and then analyze the integrity of data returned or Quoted from the origina",Medium,Low,,"The ability to monitor and interact with network communications.Access to at least one host, and the privileges to interface with the network interface card.",,"A tool capable of sending/receiving UDP datagram packets from a remote system to a closed port and receive an ICMP Error Message Type 3, Port Unreachable..",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
331,ICMP IP Total Length Field Probe,Detailed,Stable,An adversary sends a UDP packet to a closed port on the target machine to solicit an IP Header's total length field value within the echoed 'Port Unreachable error message. This type of behavior is useful for building a signature-base of operating system ,Medium,Low,,"The ability to monitor and interact with network communications. Access to at least one host, and the privileges to interface with the network interface card.",,"A tool capable of sending/receiving UDP datagram packets from a remote system to a closed port and receive an ICMP Error Message Type 3, Port Unreachable.",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
332,ICMP IP 'ID' Field Error Message Probe,Detailed,Stable,An adversary sends a UDP datagram having an assigned value to its internet identification field (ID) to a closed port on a target to observe the manner in which this bit is echoed back in the ICMP error message. This allows the attacker to construct a fin,Medium,Low,,"The ability to monitor and interact with network communications. Access to at least one host, and the privileges to interface with the network interface card.",,"A tool capable of sending/receiving UDP datagram packets from a remote system to a closed port and receive an ICMP Error Message Type 3, Port Unreachable.",,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data SCOPE:Confidentiality:SCOPE:Access Control:SCOPE:Authorization:TECHNICAL IMPACT:Bypass Protection Mechanism:TECHNICAL IMPACT:Hide Activities,,
383,Harvesting Information via API Event Monitoring,Detailed,Draft,An adversary hosts an event within an application framework and then monitors the data exchanged during the course of the event for the purpose of harvesting any important data leaked during the transactions. One example could be harvesting lists of usern,,Low,,The target software is utilizing application framework APIs,,,,SCOPE:Confidentiality:TECHNICAL IMPACT:Read Data:NOTE:The adversary is able to gather information to potentially support further nefarious activities.,Leverage encryption techniques during information transactions so as to protect them from attack patterns of this kind.,
384,Application API Message Manipulation via Man-in-the-Middle,Standard,Draft,"An attacker manipulates either egress or ingress data from a client within an application framework in order to change the content of messages. Performing this attack can allow the attacker to gain unauthorized privileges within the application, or conduc",,Low,,Targeted software is utilizing application framework APIs,,"A software program that allows a user to man-in-the-middle communications between the client and server, such as a man-in-the-middle proxy.",,,,
385,Transaction or Event Tampering via Application API Manipulation,Detailed,Draft,An attacker hosts or joins an event or transaction within an application framework in order to change the content of messages or items that are being exchanged. Performing this attack allows the attacker to manipulate content in such a way as to produce m,,Medium,,Targeted software is utilizing application framework APIs,,"A software program that allows the use of adversary-in-the-middle communications (CAPEC-94) between the client and server, such as a man-in-the-middle proxy.",,,,
386,Application API Navigation Remapping,Standard,Draft,An attacker manipulates either egress or ingress data from a client within an application framework in order to change the destination and/or content of links/buttons displayed to a user within API messages. Performing this attack allows the attacker to m,,Medium,,Targeted software is utilizing application framework APIs,,"A software program that allows the use of adversary-in-the-middle (CAPEC-94) communications between the client and server, such as a man-in-the-middle proxy.",,,,
387,Navigation Remapping To Propagate Malicious Content,Detailed,Draft,An adversary manipulates either egress or ingress data from a client within an application framework in order to change the content of messages and thereby circumvent the expected application logic.,,Medium,,Targeted software is utilizing application framework APIs,,"A software program that allows the use of adversary-in-the-middle communications between the client and server, such as a man-in-the-middle proxy.",,,,
388,Application API Button Hijacking,Detailed,Draft,An attacker manipulates either egress or ingress data from a client within an application framework in order to change the destination and/or content of buttons displayed to a user within API messages. Performing this attack allows the attacker to manipul,,Medium,,Targeted software is utilizing application framework APIs,,"A software program that allows the use of adversary-in-the-middle (CAPEC-94) communications between the client and server, such as a adversary-in-the-middle (CAPEC-94) proxy.",,,,"An in-game event occurs and the attacker traps the result, which turns out to be a form that will be populated to their primary profile. The attacker, using a MITM proxy, observes the following data: [Button][Claim_Item]Sourdough_Cookie[URL_IMG]foo[/URL_I"
389,Content Spoofing Via Application API Manipulation,Detailed,Draft,An attacker manipulates either egress or ingress data from a client within an application framework in order to change the content of messages. Performing this attack allows the attacker to manipulate content in such a way as to produce messages or conten,,Low,,Targeted software is utilizing application framework APIs,,"A software program that allows the use of adversary-in-the-middle communications between the client and server, such as an adversary-in-the-middle proxy.",,,,
390,Bypassing Physical Security,Meta,Draft,"Facilities often used layered models for physical security such as traditional locks, Electronic-based card entry systems, coupled with physical alarms. Hardware security mechanisms range from the use of computer case and cable locks as well as RFID tags ",,,,,,,,,,
391,Bypassing Physical Locks,Standard,Draft,"An attacker uses techniques and methods to bypass physical security measures of a building or facility. Physical locks may range from traditional lock and key mechanisms, cable locks used to secure laptops or servers, locks on server cases, or other such ",,,,,,,,,,
392,Lock Bumping,Detailed,Draft,"An attacker uses a bump key to force a lock on a building or facility and gain entry. Lock Bumping is the use of a special type of key that can be tapped or bumped to cause the pins within the lock to fall into temporary alignment, allowing the lock to be",,,,,,,,,,
393,Lock Picking,Detailed,Draft,An attacker uses lock picking tools and techniques to bypass the locks on a building or facility. Lock picking is the use of a special set of tools to manipulate the pins within a lock. Different sets of tools are required for each type of lock. Lock pick,,,,,,,,,,
394,Using a Snap Gun Lock to Force a Lock,Detailed,Draft,"An attacker uses a Snap Gun, also known as a Pick Gun, to force the lock on a building or facility. A Pick Gun is a special type of lock picking instrument that works on similar principles as lock bumping. A snap gun is a hand-held device with an attached",,,,,,,,,,
395,Bypassing Electronic Locks and Access Controls,Standard,Draft,"An attacker exploits security assumptions to bypass electronic locks or other forms of access controls. Most attacks against electronic access controls follow similar methods but utilize different tools. Some electronic locks utilize magnetic strip cards,",,,,,,,,,,
397,Cloning Magnetic Strip Cards,Detailed,Draft,An attacker duplicates the data on a Magnetic strip card (i.e. 'swipe card' or 'magstripe') to gain unauthorized access to a physical location or a person's private information. Magstripe cards encode data on a band of iron-based magnetic particles arraye,,,,,,,,,,
